,longitude,latitude,name,park_type,dates_open,comments,num_sites,elevation,amenities,state,nearest_town_distance,nearest_town_bearing,city
8094,-117.322,43.322,Leslie Gulch Site,BLM,nan,nan,nan,2681.0,NR,OR,27.6,NW,Jordan Valley
8095,-117.033,45.158,Lick Creek,NF,nan,nan,10,5459.0,NH ND NS NR,OR,16.6,SE,Joseph
8096,-122.432,42.271,Lily Glen  - Howard Prairie Lake,CP,mid apr-mid oct,horse corrals,12,4557.0,NH ND VT DW NS,OR,15.2,E,Ashland
8097,-122.052,44.174,Limberlost,NF,nan,nan,10,1814.0,NH ND NS NR,OR,14.3,E,Blue River
8098,-121.755,44.416,Link Creek,NF,all year,nan,36,3488.0,NH ND NS RS PA,OR,13.3,NW,Sisters
8099,-121.346,45.282,Little Badger,NF,nan,nan,6,2073.0,NH ND 16ft NS NR L$,OR,15.8,SW,Dufur
8100,-118.413,44.193,Little Crane,NF,nan,nan,5,5545.0,NH ND NS NR,OR,23.7,SE,Prairie City
8101,-121.243,43.714,Little Crater,NF,nan,nan,50,6368.0,NH ND 30ft NS NR,OR,13.4,E,La Pine
8102,-121.743,45.149,Little Crater,NF,mid may-mid sep,nan,22,3366.0,NH ND NS RS,OR,10.7,S,Government Cam
8103,-121.872,43.8,Little Cultus,NF,nan,nan,10,4797.0,NH ND NS NR,OR,24.9,N,Crescent
8104,-121.797,43.963,Little Fawn,NF,nan,nan,20,4921.0,NR,OR,24.8,W,Bend
8105,-121.762,43.91,Little Lava Lake,NF,early jun-late sep,nan,16,4754.0,NH ND NS RS,OR,24.4,SW,Bend
8109,-120.815,42.263,Lofton Reservoir,NF,nan,nan,30,6220.0,NH ND NS NR,OR,14.9,SE,Bly
8110,-119.623,44.777,Lone Pine,BLM,nan,nan,4,1871.0,NH ND VT NW NS NR L$,OR,1.6,NE,Kimberly
8111,-122.259,44.205,Lookout Boating Site,NF,nan,nan,34,1827.0,NH ND NS NR L$,OR,5.3,NE,Blue River
8113,-121.836,45.382,Lost Creek,NF,nan,nan,22,2441.0,NH ND NS NR,OR,5.9,NE,Zigzag
8115,-121.815,45.494,Lost Lake,NF,nan,nan,300,3327.0,NH DP 32ft NS NR,OR,10.7,W,Parkdale
8116,-121.913,44.43,Lost Lake,NF,nan,dispersed,14,4019.0,NH ND NW NS NR L$,OR,21.5,NE,McKenzie Bridg
8117,-122.074,44.404,Lost Prairie,NF,nan,nan,14,3389.0,NH ND NS NR,OR,32.7,E,Sweet Home
8118,-121.62,44.557,Lower Bridge,NF,nan,nan,15,2785.0,NH ND NS NR,OR,18.7,N,Sisters
8119,-121.257,43.069,Lower Buck Creek,NF,nan,nan,5,5089.0,NR,OR,11.3,W,Silver Lake
8120,-118.799,44.673,Lower Camp Creek Forest Camp,NF,nan,nan,6,3661.0,NR,OR,15.3,W,Bates
8121,-120.813,44.135,Lower Crooked River,BLM,nan,unknown facilities,nan,3056.0,NH ND VT NS NR L$,OR,11.4,S,Prineville
8122,-121.796,44.823,Lower Lake (Olallie),NF,nan,nan,8,4862.0,NH ND 16ft NS NR L$,OR,41.6,SE,Estacada
8125,-122.678,43.651,Lund Park Forest Camp,NF,nan,nan,9,1965.0,NH ND 16ft NS NR,OR,21.6,SE,Cottage Grove
8128,-118.913,44.55,Magone Lake Rec Area,NF,mid may-late oct,nan,66,5052.0,NH ND 16ft NS RS,OR,13.5,NE,Mount Vernon
8129,-120.723,44.13,Main - Prineville Reservoir State Park,SP,all year,nan,22,3973.0,WES FT DW SH RS,OR,13.0,SE,Prineville
8130,-121.783,43.963,Mallard Marsh (Hosmer Lake),NF,nan,nan,15,4993.0,NH ND NS NR,OR,24.1,W,Bend
8131,-122.086,42.53,Malone Springs,NF,nan,nan,5,4100.0,NH ND NS NR,OR,26.2,NW,Klamath Falls
8132,-121.945,44.609,Marion Forks,NF,nan,nan,15,2589.0,NH ND NS NR,OR,13.3,SE,Detroit
8133,-120.604,42.623,Marster Spring,NF,nan,nan,10,4777.0,NH ND NS NR,OR,5.7,SW,Paisley
8134,-123.56,44.509,Marys Peak,NF,nan,nan,6,3550.0,NH ND NS NR,OR,15.2,W,Corvallis
8137,-117.221,44.935,Mcbride,NF,nan,nan,10,4774.0,NH ND NS NR,OR,6.4,NW,Halfway
8138,-121.483,45.116,Mccubbins Gulch,NF,nan,nan,5,3091.0,NH ND NS NR,OR,18.6,SE,Government Camp
8139,-118.246,44.767,Mccully Forks,NF,nan,nan,7,4669.0,NH ND NS NR,OR,20.2,W,Baker City
8140,-121.377,43.717,Mckay Crossing,NF,nan,nan,10,4777.0,NH NR,OR,7.1,NE,La Pine
8142,-121.867,45.384,McNeil,NF,mid may-mid sep,nan,34,2073.0,NH ND VT NW NS NR,OR,5.6,NE,Welches
8145,-118.611,44.631,Middle Fork,NF,nan,nan,10,3888.0,NH ND NS NR,OR,6.0,W,Austin
